"グループ名","名字","名前","名字読み","名前読み","TwitterID","TwitterName","フォロワー数","ツイート数","認証","Twitterプロフィール"
"【eN】","水守","あき奈","みずもり","あきな","eN_mimori_","水守　あき奈【eN】💭🐑💭卒業","659","1823","","【eN】＠eN_11_11 ⑅⃛ 【ﾌﾟﾘﾕﾈｸｽﾄ1期生卒業】 ⑅⃝♡*◌⑅⃝*♡⑅⃝ﾐﾝﾄｸﾞﾘｰﾝ| 土曜わみもりの日 | 癒しをお届け | 激辛道🌶|ディズニーヲタ🌍#古着女子 |ﾌｫﾛﾜｰ1000人目指し中✨"
"【eN】","やまだ","なみ","やまだ","なみ","eN_nami0620","やまだなみ🍑","9640","22106","","えんの桃色。ツアー決定！3月大阪🐙4月名古屋🐓5月東京🗼ライブスケジュールはこちら→ https://t.co/robFLSvTPf #えんちゃん #ぼくなみ #なみゆのヒミツ"
"【eN】","桜井","紗稀","さくらい","さき","eN_saki0311_","🌸桜井紗稀(さきちょん)❄","10362","60116","","【eN】の新メンバー白色担当🤍@eN_11_11🤍ショート❣️🌸ポコチャ📹アイドルぽたく/美容/犬🐶推してくれたらしわわせにします❄️ラストグループです。色白片エクボ滑舌弱め👶推してね🤍グラビア 6thDVD発売中　プリュ所属"
"【eN】","成瀬","せな","なるせ","せな","eN_sena_","成瀬せな🐯【eN】","2455","8470","","（@eN_11_11 ）黄色担当最年少19歳！ #えんちゃん SNS https://t.co/rFQdKdu3cY ハスキーボイスです💫"
"＆シンフィニティ","水瀬","ももか","みなせ","ももか","_mnsmmk","水瀬ももか","4791","121","","@akicha_p_idol 💎 ダイヤモンドブルー ももちぇる"
"＆シンフィニティ","有栖","かこ","ありす","かこ","ars_kako","有栖かこ🐇🍓","3183","4854","","\ 💜 @akicha_p_idol アメシストパープル担当 💜 /セブンのいちごさんどが大好きなうさぎ顔🐇🍓"
"＆シンフィニティ","長谷川","あき","はせがわ","あき","hsgwak68","長谷川あき(＆シンフィニティ)","1534","2034","","🤍@akicha_p_idol パールホワイト担当 あきちゃ🤍 170㌢ | まるがお | #あきちゃのあしちゃ | 全力パフォーマンス | 平和主義 | 美容 | snidel | ポムポムプリン"
"＆シンフィニティ","小倉","さやか","おぐら","さやか","ogurasayaka","小倉さやか【&シンフィニティ】","499","372","","@akicha_p_idol ガーネットピンク担当 さやぴです💕古参募集中👶🏻🍼"
"＆シンフィニティ","月島","りの","つきしま","りの","RinoMoon921","月島りの【＆シンフィニティ】","202","170","","@akicha_p_idol トパーズイエローりののです🌙🌼"
"#2i2","天羽","希純","あまう","きすみ","amau_kisumi","💋天羽希純💋12/11ワンマンライブ","95564","27832","","12/11ワンマン【#2i2 005💜@2i2jp】きすみんって呼んでね！本名。YouTube➠https://t.co/yHIb0rPssD 問い合わせ➠https://t.co/3il5Pupb5d #2i2 公式➠https://t.co/UjuEb6W3qH"
"#2i2","森嶋","あんり","もりしま","あんり","anchuu_122","森嶋あんり #2i2","124868","17537","","【 #2i2 002 @2i2jp 】19歳。群馬県出身🌳 食べることが大好き🍜   💌 〒160-0023東京都新宿区西新宿6丁目12-7 ストーク新宿Bldg.2F 森嶋あんり宛 ※DM事務所管理です お問い合わせ⏩【https://t.co/ISfPOZU57D】"
"#2i2","","十味","","とーみ","toomi_nico","十味 #2i2","239043","55365","","【#2i2 001🌶 赤 @2i2jp】とーみと読みます。【149cm】【1st写真集'とーみにこ'】【日曜20:00~文化放送'音の箱'パーソナリティ】【D.League LABアシスタントMC】【公式ガンダムチャンネル研究生】【郵送物】160-0023東京都新宿区西新宿6丁目12-7 ストーク新宿Bldg.2F"
"#2i2","奥","ゆい","おく","ゆい","yui_oku","奥ゆい #2i2","30956","11484","","【#2i2 004🐱💛 @2i2jp】JOJOと猫が大好き🐾大学生です👩‍💻📚ガウラー🐺奥ゆい組🏍 #奥ゆいと一緒 #今日の奥ゆい #今日の奥典会 SHOWROOM毎日配信中🎥 【お問い合せ https://t.co/TYyos1p28l"
"#BEMYLOVE","安達","かんな","あだち","かんな","kanna_bml","安達かんな🧸#BEMYLOVE","594","10919","","#BEMYLOVE ( @bemylove_japan )のレッド担当かんちゃんです🧸🍒聖母です👩🏻‍🍼【求】かんちゃん単推し。落とし穴ドッキリかけられることが夢です #BEMYLOVE #BML #ビマラ #かんちゃんお寿司か ※DM運営管理"
"#BEMYLOVE","大宮","瑞貴","おおみや","みずき","mizuki_bml","大宮 瑞貴🐿 #BEMYLOVE","242","1797","","『明日、誰かの - 好き。 - になる』#BEMYLOVE 【@bemylove_japan】ピンク担当みずきです！🐿💓| Debut:2021年8月31日🤍✨| プリンが大好き🍮💛💓フォローお願いします！"
"#BEMYLOVE","","りあら","","りあら","riaratan","りあら🦄💜#BEMYLOVE","1590","4850","","ぺこりあらワールドのお姫様最強ガールりあらです🦄🌈@riaramail2020ユニコーン♡シナモロール ♡ポチャッコ ♡しんちゃん♡とうもろこし♡ハロプロ♡ 鈴木愛理ちゃん♡稲場愛香ちゃんらぶです💗あいりまにあ💞アイドルソロクィーンコンテストファイナリスト #りあら #ぺこりあら #ミンヨー #BEMYLOVE"
"#LOG1N","バブミ","モエ","ばぶみ","もえ","LOG1N_babu","ﾊﾞﾌﾞﾐ・ﾓｴ【#LOG1N】","9702","5193","","ｱｲﾄﾞﾙ㌠ #LOG1N みるく色担当 ⌇@LOG1N_official ｜ ｻﾌﾞ⌇@babumimoe"
"#LOG1N","","なちこ","","なちこ","LOG1N_nachico","なちこ ［#LOG1N］","6767","1695","","ベイマックスの中の人(22)#️⃣✊ @LOG1N_official #LOG1N 担当カラー／薄めのバイオレット   笑顔で虜にします。なんつって。"
"#LOG1N","","NiA","","にあ","LOG1N_NiA","NiA","12261","836","","♡┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈♡ 🔥 #LOG1N リーダー｜最強ピンク担当 ｜ハロヲタ🔥 ♡┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈┈♡ ⋱⋰ ⋱⋰ ⋱⋰ 中の人 ⇒@wknyan925 ⋱⋰ ⋱⋰ ⋱⋰"
"#LOG1N","","りぃあん","","りぃあん","LOG1N_riian","りぃあん ( #LOG1N )","11080","12568","","@LOG1N_Official 🐤🍋 TikTok36万人/いつか石油王と繋がって毎月500万円振り込んでもらうのを夢見る限界乞食アイドルです。お金かください。座右の銘は「大丈夫あんり可愛いから」@riiian_magutaku"
"#LOG1N","国木田","さりまる","くにきだ","さりまる","LOG1N_sarimaru","国木田さりまる【#LOG1N】","5746","821","","ただの青として必死こいてます おもしれー女。です 猫と音楽と麻雀が好き🀄️💙 「思ったより声低いですね」とよく言われます。 グループに属してますが、メンバーのヲタクしてます。本体【@wtam_wtam】 #LOG1N @LOG1N_official《🍜🀄️🈂️》#さりまるがいる世界"
"#PANnana ーパンダの指は実は７本ある。ー","向井","はるか","むかい","はるか","haruka_mukai","向井はるか #PANnana","1668","1811","","@pannana_staff"
"#PANnana ーパンダの指は実は７本ある。ー","双葉","かい","ふたば","かい","kai_futaba","双葉かい #PANnana","1451","2392","","【@pannana_staff】ｷﾐﾄﾞﾘﾊﾟﾝﾀﾞ🐼💚かいすきや？メロンソーダのヲ🍈#PANnana 第2章開幕！！ハート割るプロ💔"
"#PANnana ーパンダの指は実は７本ある。ー","音嶋","もね","おとしま","もね","mone_otoshima","音嶋もね #PANnana新メンバー","530","156","","【@pannana_staff】紫色😈 #もねのおと"
"#PANnana ーパンダの指は実は７本ある。ー","廣井","のどか","ひらい","のどか","nodoka_hiroi","廣井のどか #PANnana 新メンバー","691","232","","【@pannana_staff】の白色⚪️🐼 よく喋る！と思う！！"
"#PANnana ーパンダの指は実は７本ある。ー","要","るな","かなめ","めな","runa__kaname","要るな #PANnana","1867","1561","","【@pannana_staff】あおパンダさん🐼 💙🇹🇭×🇯🇵#るなちゃんたまにできます (期間限定ロング中)"
"#PANnana ーパンダの指は実は７本ある。ー","一条","しずく","いちじょう","しずく","shizuku_ichijo","一条しずく #PANnana","1425","1911","","🐼【@pannana_staff】🐼 こう見えて実はパンダ！しちゃんぼぶになったよ！"
"#PANnana ーパンダの指は実は７本ある。ー","彩音","そら","あやね","そら","sora__ayane","彩音そら #PANnana","1480","2568","","꒰ @pannana_staff ꒱ の黄色パンダそらにんです🐼🌈5限のキャンセルなんか2日後にでるアイドル❗️❗️❗️"
"#PEXACOA","神崎","あゆみ","かんざき","あゆみ","ayumi_pexacoa","神崎あゆみ #PEXACOA","2865","953","",""
"#PEXACOA","白瀬","はる","しらせ","はる","haru_PEXACOA","白瀬はる #PEXACOA","1938","7114","","@PEXACOA_OFCしらせはる！ペキサコア白色担当☁️撮可！AB型の左利き大学生＊あざといらしい(?)低音ボイスの優等生ダンス。ライブ中は上手が多い！"
"#PEXACOA","鈴音","こはる","すずね","こはる","koharu_pexacoa","鈴音こはる #PEXACOA","3649","2251","","@PEXACOA_ofc"
"#PEXACOA","月島","くるみ","つきしま","くるみ","kurumi_pexacoa","月島くるみ #PEXACOA","2211","354","","@pexacoa_ofc 💍 12月もくるみにください"
"#PEXACOA","黒宮まみ","まみ","くろみや","まみ","mami_PEXACOA","黒宮まみ #PEXACOA","756","172","",""
"#PEXACOA","涼木","なほ","すずき","なほ","naho_pexacoa","涼木なほ #PEXACOA","1378","1967","","☁️🌱☁️ペキサコア @PEXACOA_OFC☁️🌱☁【ハイトーングリーン担 / すずきなほ】//メアリって呼ばれても振り向きます！多分おもしろいです！見つけてください！あなたを後悔させない推しメンになります！絶対フォロー‼️"
"#PEXACOA","城月","菜央","きづき","なお","nao_PEXACOA","城月菜央(#PEXACOA)","1827","4469","","🐰きづきなお🐰・・・ありがとう・・・シルバー担当・・・DMNG・・・リプ返出来ないの・・・03𝑙𝑖𝑛𝑒・・・見つけてくれて感謝・・・PEXACOA公式➪@PEXACOA_OFC・・・𝐹𝑎𝑛 𝑚𝑎𝑟𝑘➪🤟🐰🤟・・・"
"#PEXACOA","宮凪","りぃさ","みやなぎ","りぃさ","riisa_PEXACOA","宮凪りぃさ【#PEXACOA】","1437","3852","","@PEXACOA_OFC 金髪ゴールド担当 | 関西弁女子大生AIドル🐥🎤🍎| 砂肝•ぼんじり•メロンパン | りさりさりぃさ💕| #りぃさ飯"
"#PEXACOA","高木","そら","たかぎ","そら","sora_pexacoa","高木そら#PEXACOA","1351","1330","","@PEXACOA_OFC 黄色！🐣"
"#PEXACOA","まゆた","ゆま","まゆた","ゆま","yuma_pexacoa","まゆたゆま #PEXACOA【1/16 EASTワンマン】","5029","587","","@pexacoa_ofc 青色ゅ インナーカラー 17さいです。うそです。"
"#あんのわーるど","叶愛","あめ","かなり","あめ","ukw_ame","ワンマンに来て欲しい叶愛 あめ(ちゃん)🍬🐬#あのわど1/9ワンマン❕","3608","5783","","@ukw_official 初期メン❕月に土地所持🌙左利き🤚八重歯🦷来年2022年1月9日名古屋ReNY limitedさんにて1stワンマンライブ『開運あんの参り』開催します⛩ライブで水色フリフリしてくれたら爆レスが飛んできます💫♡ https://t.co/NsXDoshDvP ♡"
"#あんのわーるど","氷菓","にこ","ひょうか","にこ","ukw_nico","氷菓にこ🍨🎀 #あのわど","1101","1517","","💒 #あんのわーるど〖@ukw_official〗💒 ︴💗貴方のヒロインピンク担当💗 ︴🤍萌えきゅんをお届けします🤍 ︴#今日の氷菓にこ 覗きに行くよっ🍨 ︴2022年1月9日名古屋ReNYlimitedさんにてワンマンライブ開催します ໒꒱· ﾟ"
"#あんのわーるど","ユズ","リアイ","ゆずり","あい","ukw_riai","ユズ・リアイ#あのわど","1564","2443","","りあちゃんって呼んでね❕￤【@ukw_official】の平和ｸﾞﾘｰﾝ担当🧼￤ｱｲﾄﾞﾙｦﾀｸです🎀￤月に土地持ってます🌝￤ﾌｧﾝ200人くらい欲しいｶﾞﾝﾊﾞﾙｿﾞ🐶￤固ﾂｲみてね❕￤2022/1/9名古屋ReNYlimitedﾜﾝﾏﾝﾗｲﾌﾞ来てください!!￤SNSいっぱいやってる!ﾘﾝｸみてみて〜! ↙"
"#あんのわーるど","鈴菜","りん","すずな","りん","ukw_rin","鈴菜りん💛🔔#あのわど","980","1304","","#あんのわーるど (@ukw_official) /ぷちっとイエロー担当🐣グループ最小145cm💛『早寝遅起』"
"#あんのわーるど","","うらら","","うらら","ukw_ulala","うらら #あのわど","1792","735","","貴方の笑顔の理由になりたいです ☁2022年1月9日名古屋ReNY limitedさんにてワンマンライブ開催します ☁@ukw_official 🤍 https://t.co/MYJIQJvzKO 🤍"
"#がらぽん","","こはる","","こはる","koharu_grpn","こはる😈#がらぽん","812","13836","","2021.11.03 初ワンマンライブありがとう💜🤍💚❤️ @grpn_official #がらぽん パープル🪡 (⃔ * `꒳ ´ * )⃕↝ SR🌈 ♡こはるーむ♡ 2019.06.01〜 毎日配信中 🐊 #こはるんるんるん #るんるんてぃー 事務所管理 フォロワーさん1000人超えたい拡散よろしくね♪"
"#がらぽん","","みあき","","みあき","miaki_grpn","みあき🥒#がらぽん@12/4生誕祭in池袋🌱","329","6882","","@grpn_official ワンマンライブありがとう💜🤍💚❤️ ＼2021年3月19日爆誕／ グリーン担当のみあき🥒#みゃーき 大阪出身。テレビよりもラジオがお供📻 ディズニー好き、プーさんが彼氏🐝🍯 食べることも大好き🥒眠たい子😴 事務所管理 通販@grpn_help"
"#がらぽん","","のい","","のい","noi_grpn","のい🐈#がらぽん","139","553","","#がらぽん 新メンバー！レッド担当 アニメ(テニプリ🎾アイマス🎤etc…)とゲームと野球が好きなアイドル🥳 1リプ⭕️、DM❌ ⚠️事務所管理                                                                2021.10月24日(日)デビュー！"
"#ジューロック","白石","杏","しらいし","あんず","an_JUROCK","白石杏 #ジューロック","2161","1824","","@JUROCK_16_ ほっとぴんく💖食べることが大好きです( ¨̮ )︎︎♡"
"#ジューロック","西野","ふうか","にしの","ふうか","fuka_JUROCK","西野ふうか #ジューロック","1692","1672","","@JUROCK_16_ きみどり🧸20さい"
"#ジューロック","黒木","真里亜","くろき","まりあ","maria_JUROCK","黒木真里亜 ワッツ◎さーくる","1621","1592","","💙@JUROCK_16_ 💙 あおいろ💙期間限定ワッツ◎さーくる新メンバー赤色担当"
"#ジューロック","加藤","真凛","かとう","まりん","marin_JUROCK2","加藤真凛 #ジューロック","3285","4005","","💚@JUROCK_16_ 💚埼玉県出身（22）緑色担当🐰#かとうのごはん 推しメンにして下さい☁️ 2022/1/6(木)「3rdワンマンLIVE」 @ 日本特殊陶業市民会館フォレストホール🔥"
"#ジューロック","村瀬","めぐ","むらせ","めぐ","megu_JUROCK2","村瀬めぐ #ジューロック","6646","4481","","@JUROCK_16_ ジューロックのハイトーンボブ担当꒰ঌ🤍໒꒱のつもり"
"#ジューロック","清水","美早","しみず","みさ","misa_JUROCK","清水美早 #ジューロック","8545","22976","","@JUROCK_16_ 圧倒的赤色❤️‍🔥"
"#ジューロック","高知","なな","たかち","なな","nana_JUROCK","高地なな ワッツ◎さーくる","2164","1463","","@JUROCK_16_ホワイトセクシー！！(たまにイケメン) 私のトリコになってみる？？🤍 写真より映像より実物に会いに来てください🥺💙期間限定 ワッツ◎さーくる 青色担当！💙"
"#ジューロック","椎名","りあ","しいな","りあ","ria_JUROCK","椎名りあ ワッツ◎さーくる","3676","5563","","@whatscircle ワッツさーくる期間限定みどり担当🟢1/6 フォレストホール3rdワンマン！！11/25~12/9ワッくるさん新メンバーとして交換留学させていただいてますᐡ o̴̶̷̤ ﻌ o̴̶̷̤ ᐡ期間限定🟢担当です！！"
"#ジューロック","白間","沙希","しろま","さき","saki_JUROCK2","白間沙希 #ジューロック","7569","4350","","@JUROCK_16_ 💛フォロワー1万人になったらインスタやります"
"#ジューロック","朝倉","さゆ","あさくら","さゆ","sayu_JUROCK2","朝倉さゆ #ジューロック","3277","2806","","@JUROCK_16_ げんきです！18さい！3rdワンマンライブ 2021/1/6（木）@日本特殊陶業市民会館フォレストホール"
"#ジューロック","篠宮","すずね","しのみや","すずね","suzune_JUROCK2","篠宮すずね #ジューロック","3021","4768","","水色担当 🐻🦋💎💙 完全無敵のラブリーヴォイス いっぱい食べちゃうよっ♡ \ ねぴちゃん！ /@JUROCK_16_"
"#ババババンビ","吉沢","朱音","よしざわ","あかね","akanekogurasi","吉沢朱音 #ババババンビ","58655","4088","","よしざわあかね🕊福岡出身、破天荒すぎるマジシャン。週3豚骨ラーメン、ポケモンマニア。謎解き。作詞🦌💛可愛い女の子大好きな社不です @babababambi01"
"#ババババンビ","池田","メルダ","いけだ","めるだ","meruda__ikeda","池田メルダ #ババババンビ","43498","13073","","こんにちわに🐊インドネシアと日本のハーフで #ババババンビ の緑色の人です！#メルファミ @babababambi01 お問い合わせ→ https://t.co/xKwmbJTf12 🎁は〒160-0023 東京都新宿区西新宿6丁目12-7ストーク新宿Bldg.2F 池田メルダ宛て"
"#ババババンビ","水湊","みお","みなと","みお","minato__mio","水湊みお #ババババンビ","188567","9107","","集英社より1st写真集『みなとみないと』発売📘        福岡県出身 #ババババンビ @babababambi01 青色担当💙アニメとゲーム実況が好き🦭御朱印集めてます⛩ #みなと参拝 お問い合わせはこちら https://t.co/NZPYiNeCW3"
"#ババババンビ","岸","みゆ","きし","みゆ","miyu_kishi0213","岸みゆ #ババババンビ","102551","13774","","@babababambi01 #ババババンビ 145cmの赤色アイドル お問い合わせ https://t.co/stjqnjOIep 📮💌〒160-0023 東京都新宿区西新宿6丁目12-7 ストーク新宿Bldg.2F 岸みゆ宛て"
"#ババババンビ","小鳥遊","るい","たかなし","るい","pipipi_br","小鳥遊るい #ババババンビ","61562","15223","","@babababambi01 白色黒髪ツインテール🤍SHOWROOM毎日配信🐥 #るいとも"
"#ババババンビ","近藤","沙瑛子","こんどう","さえこ","saekondo_inu","近藤沙瑛子🐾 #ババババンビ","50283","8261","","#ババババンビ (紫) 熊本県出身。犬が好きです。@babababambi01 お問い合わせ→https://t.co/Scr4WCViLx 。9/4〜全国ツアー開催。イベントスケジュール→ https://t.co/48HfCguVqv 。"
"#ババババンビ","","宇咲","","うさ","usa_usa0427","宇咲 #ババババンビ (9/4~全国ツアー)","67371","5081","","「宇宙にまで華咲かせられるように...🌹」高校生/ 2003.04.27🎂 #ババババンビ@babababambi01 桃色/ #うさぎぐみ🐰💖 / 【問い合わせhttps://t.co/uiIBjS8jmB】初の全国ツアー中❗️→https://t.co/bJ0wcCyJ4i"
"#フラサービックル","花園","まな","はなぞの","まな","FLABI_MANA","花園まな#フラサービックル 2022/1/16(日)1stワンマン@ZeppFukuoka","505","192","","✿ @FULABI_STAFF ✿ #フラサービックル 新メンバー🌸 紫担当💜福岡出身の16歳です🌷オムライス大好き♥︎♥︎"
"#フラサービックル","美月","みこと","みつき","みこと","FLABI_MIKOTO","美月みこと #フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","987","1270","","￤@FULABI_STAFF ￤青🦇🌙￤"
"#フラサービックル","宮崎","もこ","みやざき","もこ","FLABI_MOKO","宮崎もこ #フラサービックル　2022/1/16(日)1stワンマン@ ZeppFukuoka","1448","1030","","@FULABI_STAFF ふらびのまるまる癒し担当☁️ﾊﾟｧ 👊🏻1/16までにふぉろわーさん2000人👊🏻"
"#フラサービックル","双葉","おと","ふたば","おと","FLABI_OTO","双葉おと#フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","1074","776","","🥕!! @FULABI_STAFF 143㌢ フラビの元気な妹担当"
"#フラサービックル","夏芽","らいむ","なつめ","らいむ","FLABI_RAIMU","夏芽 らいむ#フラサービックル2021/1/16(日)1stワンマン@ ZeppFukuoka","809","568","","＜@FULABI_STAFF＞ 緑色担当！💚💚💚なつめらいむです！岡山県出身🐾じゃがじゃが〜 ねこがすき"
"#フラサービックル","逢坂","らん","あいさか","らん","FLABI_RAN","逢坂らん #フラサービックル 2022/1/16(日)1stワンマン@ZeppFukuoka","1875","1466","","【 @FULABI_STAFF 】自称(?)スマイルピンク担当です🐥💓 #あいさかわいい"
"#フラサービックル","白濱","せな","しらはま","せな","FLABI_SENA","白濱せな #フラサービックル2022/1/16(日)1stワンマン@ ZeppFukuoka","1224","464","","《@FULABI_STAFF 》赤色！高身長！最年少16歳.ᐟ.ᐟ.ᐟ.ᐟ 📛📍1/16 Zepp fukuoka 1stワンマン ❤️‍🔥"
"#ペンタプリズム","天乃","かなた","てんの","かなた","kanata_Pprism","天乃かなた #ペンタプリズム","931","1891","","@Pentaprism_info 青"
"#ペンタプリズム","犬飼","ことり","いぬかい","ことり","kotori_Pprism","犬飼ことり（#ペンタプリズム）","4440","11039","","@Pentaprism_info むらさき担当🎮💜│愛犬レオ君マロン君🐶│ガンプラを造ることとアニメと射撃が好きであります TikTok〖 https://t.co/hNIeZGw6km 〗"
"#ペンタプリズム","道弐","まよい","みちに","まよい","mayoi_Pprism","道弐まよい #ペンタプリズム","1116","201","","#ペンタプリズム (@pentaprism_info) 白色担当 17歳 よくツイートするサブアカウント (@harapekoUx_xU)"
"#ペンタプリズム","","なの.com","","なの","nano_Pprism","なの.com（ #ペンタプリズム ）","7826","6836","","お豆腐メンタルとゾンビメンタルを兼ね備えています @Pentaprism_info水色"
"#ペンタプリズム","汐咲","玲亜","しおさき","れいあ","reia_Pprism","汐咲玲亜 #ペンタプリズム","1111","902","","#ペンタプリズム 新メンバー 黄色 @Pentaprism_info"
"#ワールドカオス","","みずき","","みずき","michan__zrx","花宮 みずき","529","1559","","#ワールドカオス 青"
"#ワールドカオス","","りりか","","りりか","ririka_hprcm","神田 利理加@飛ぺりか夢💜","4023","32051","","公式→@mcpr_hipericum紫💜22歳｜フォロワーさん5000人でバンジージャンプ！是非フォローしてください🙇‍♀️ お仕事依頼: info.hipericum@gmail.com"
"#ワールドカオス","","たなか","","たなか","UT_TU_tnk","たなか🧡12月26日生誕祭🧡","633","3497","","#ワールドカオス ( @Worldchaos_2020 ) オレンジ色🧡🧡12月26日予定空けといてね🧡"
"#ワールドカオス","","ありさ","","ありさ","World_arishan","😈黒羽 有咲 ‎𓊆ありしゃん𓊇12/26 卒業","2773","3071","","🔮くろばありさ🔮 #ありしゃんどん #ワールドカオス (@Worldchaos_2020) 💜ラベンダー担当💜 ꕥ派生☞#ピンポンダッシュ 😈基本活動曜日☞日曜日 🎤ライブ情報▶️#WCライブ #PDライブ👾コンカフェにもいます🔭 ⚠️1リプに1お返事のみ⚠️ライブ撮可"
"#ワールドカオス","","ひな","","ひな","World_hinamyun","ひなみゅん💚🐣ྀི","1289","8701","","#ワールドカオス(＠Worldchaos_2020)💚ライトグリーン担当💚陽菜みみな(ひなみみな)💚みゅんボイスとお団子ツインテール💚#ひなみゅんなう でツイートしてね💚2020/9/6デビュー💚#撮可アイドル💚撮影会モデル💚メイドダーツバー🎯@hinamyun15darts💚こぎみゅん好き💚"
"#ワールドカオス","","もえ","","もえ","World_moechu","星宮もえ(もえちゅ)🧸🍓12月2日卒業","1223","2944","","#ワールドカオス (@Worldchaos_2020)星宮もえ(もえちゅ)です🧸あざとピンク色担当💗💗💗💗💗💗🍓2021年11月21日(日)新宿アルタKeyStudioにて、🍓2nd ワンマン➕星宮もえ生誕祭対バンライブ！"
"#ワールドカオス","","せな","","せな","World_senamaru","黒崎せな🐬💎#ワールドカオス第2章","647","6649","","2020.6.7~#ワールドカオス(@Worldchaos_2020) みずいろ🐬リーダー💎せなまる🦋昼職あいどる🐳#せなまるの挨拶❄ 💙11/21 新宿アルタKey Studioにて2ndワンマン💙"
"＋Aid 6mg","宵闇","ある","よいやみ","ある","plusAid_aru","宵闇ある@生きてる","50","430","","+Aid 6mg 黒色べび担当🖤🍼宵闇あるです！好きな食べ物はじゃがりこです🙃だれかの憧れになりたい✨ブラッキーとゾロアとミミッキュが好きです。 #プラスエイド #地下アイドル ＠plusAid_info"
